Country,Gender,2018,2015,2010,2005,2000
Republic of Moldova,Male,18.3,18.9,24.4,30.7,21.5
Republic of Moldova,Female,5.3,5.5,7.6,10.3,7.1
Romania,Both,11.7,11.6,14.0,15.8,17.4
Romania,Male,18.6,18.4,21.8,24.7,27.1
Romania,Female,5.5,5.4,6.7,7.6,8.4
Russian Federation,Both,11.2,12.5,15.9,17.4,15.7
Russian Federation,Male,19.1,21.3,26.5,28.5,26.2
Russian Federation,Female,4.6,5.1,7.0,8.0,6.9
Rwanda,Both,9.0,9.3,10.3,13.0,13.7
Rwanda,Male,14.8,15.2,16.8,21.0,22.1
Rwanda,Female,3.5,3.6,4.1,5.5,5.9
Saint Kitts and Nevis,Both,8.9,8.9,9.4,11.5,9.5
Saint Kitts and Nevis,Male,14.1,14.0,14.9,18.1,15.0
Saint Kitts and Nevis,Female,3.9,3.9,4.2,5.2,4.2
Saint Lucia,Both,10.6,10.0,9.7,11.6,11.8
Saint Lucia,Male,17.2,16.1,15.6,18.7,19.0
Saint Lucia,Female,4.4,4.1,4.1,5.0,5.0
Saint Vincent and the Grenadines,Both,9.1,8.5,7.0,6.0,5.0
Saint Vincent and the Grenadines,Male,14.4,13.4,11.2,9.5,8.0
Saint Vincent and the Grenadines,Female,3.7,3.4,2.8,2.4,2.0
Samoa,Both,2.7,2.6,3.0,4.2,3.8
Samoa,Male,4.3,4.2,4.8,6.8,6.1
Samoa,Female,0.9,0.9,1.0,1.4,1.3
Sao Tome and Principe,Both,5.9,7.2,8.3,8.7,8.2
Sao Tome and Principe,Male,9.3,11.4,13.2,13.8,13.0
Sao Tome and Principe,Female,2.5,3.1,3.6,3.8,3.6
Saudi Arabia,Both,0.2,0.2,0.2,0.2,0.2
Saudi Arabia,Male,0.3,0.3,0.3,0.3,0.3
Saudi Arabia,Female,0.0,0.0,0.0,0.0,0.0
Senegal,Both,0.8,0.7,0.6,0.9,1.0
Senegal,Male,1.3,1.3,1.0,1.5,1.7
Senegal,Female,0.2,0.2,0.2,0.3,0.3
